YearMonth,In-Out,CompanyCode,TotalOrder,DetailContract,SVTTotal,SVTForeigner,OrderTotal,DetailOrderForeigner
2018-02-01,1,7,160,20,6,3,0,0
2018-02-01,1,8,70,15,9,2,0,0
2018-02-01,1,9,81,0,71,60,4,0
2018-02-01,1,10,22,0,10,10,2,0
2018-02-01,1,11,180,0,53,39,14,0
2018-02-01,0,12,230,0,106,0,20,0
2018-02-01,0,13,55,0,39,0,25,0
2018-02-01,0,14,200,0,14,0,20,0
2018-02-01,0,15,220,0,12,0,33,0
2018-02-01,0,16,100,0,8,0,5,0
2018-02-01,0,17,30,0,7,0,0,0
2018-02-01,0,18,20,0,1,0,0,0
2018-02-01,0,19,5,0,1,0,0,0
2018-02-01,0,20,50,0,20,1,8,0
2018-02-01,0,21,50,0,19,0,9,0
2018-02-01,0,23,150,0,7,0,7,0
2018-02-01,0,24,0,0,0,0,0,0
2018-02-01,0,25,10,0,1,0,0,0
2018-02-01,0,26,120,0,7,0,10,0
2018-02-01,0,27,40,0,6,0,10,0
2018-02-01,0,28,111,0,23,23,10,4
2018-02-01,0,29,80,0,7,1,5,0
2018-02-01,0,30,20,0,3,0,5,0
2018-02-01,0,31,65,0,10,0,10,0
2018-02-01,0,32,350,0,8,0,15,0
2018-03-01,1,0,333,0,108,69,0,0
2018-03-01,1,1,178,178,124,58,10,7
2018-03-01,1,2,20,0,11,0,0,0
2018-03-01,1,3,10,0,10,0,0,0
2018-03-01,1,4,118,0,82,82,0,0
2018-03-01,1,5,46,46,46,45,14,14
2018-03-01,1,6,150,0,12,0,9,0
2018-03-01,1,7,148,20,6,3,0,0
2018-03-01,1,8,65,20,7,2,0,0
2018-03-01,1,9,80,0,68,58,0,0
2018-03-01,1,10,22,0,10,10,0,0
2018-03-01,1,11,180,0,53,38,15,0
2018-03-01,0,12,230,0,104,0,20,0
2018-03-01,0,13,60,0,38,0,40,0
2018-03-01,0,14,200,0,13,0,45,0
2018-03-01,0,15,180,0,11,0,0,0
2018-03-01,0,16,100,0,7,0,15,0
2018-03-01,0,17,25,0,7,0,0,0
2018-03-01,0,18,50,0,1,0,0,1
2018-03-01,0,19,10,0,1,0,0,0
2018-03-01,0,20,50,0,23,1,9,1
2018-03-01,0,21,50,0,14,0,3,0
2018-03-01,0,23,150,0,6,0,25,0
2018-03-01,0,24,0,0,0,0,0,0
2018-03-01,0,25,10,0,1,0,0,0
2018-03-01,0,26,120,0,7,0,10,0
2018-03-01,0,27,50,0,10,0,10,0
2018-03-01,0,28,170,0,29,29,0,0
2018-03-01,0,29,80,0,6,1,0,0
2018-03-01,0,31,70,0,15,0,0,0
2018-03-01,0,32,300,0,7,0,0,0
2018-04-01,1,0,312,0,108,69,3,0
2018-04-01,1,1,186,186,123,56,7,7
2018-04-01,1,2,20,0,11,0,1,0
2018-04-01,1,3,10,0,10,10,0,0
2018-04-01,1,4,169,0,129,128,0,0
2018-04-01,1,5,47,47,47,46,0,0
2018-04-01,1,6,150,0,13,13,8,8
2018-04-01,1,7,130,20,5,2,0,0
2018-04-01,1,8,60,20,7,2,0,0
2018-04-01,1,9,75,0,64,56,6,3
2018-04-01,1,10,22,0,10,10,0,0
2018-04-01,1,11,180,0,66,54,2,0
2018-04-01,0,12,230,0,104,0,0,0
2018-04-01,0,13,75,0,35,0,40,0
2018-04-01,0,14,220,0,18,0,20,0
2018-04-01,0,15,180,0,10,0,5,0
2018-04-01,0,16,100,0,7,0,0,0
2018-04-01,0,17,25,0,7,0,0,0
2018-04-01,0,19,10,0,1,0,0,0
2018-04-01,0,20,50,0,23,1,9,1
2018-04-01,0,21,50,0,14,0,2,0
2018-04-01,0,23,150,0,7,0,15,0
2018-04-01,0,24,0,0,0,0,0,0
2018-04-01,0,26,120,0,7,0,5,0
2018-04-01,0,27,45,0,10,0,10,0
2018-04-01,0,28,140,0,29,29,0,0
2018-04-01,0,29,70,0,6,1,0,0
2018-04-01,0,31,60,0,10,0,0,0
2018-04-01,0,32,280,0,7,0,0,0
2018-05-01,0,12,220,0,108,0,5,0
2018-05-01,0,13,75,0,35,0,60,0
2018-05-01,0,14,220,0,18,0,10,0
2018-05-01,0,15,180,0,10,0,5,0
2018-05-01,0,16,100,0,7,0,0,0
2018-05-01,0,17,25,0,7,0,1,0
2018-05-01,0,20,50,0,22,1,5,1
2018-05-01,0,21,50,0,14,0,2,0
2018-05-01,0,23,160,0,8,0,5,0
2018-05-01,0,33,0,0,0,0,15,0
2018-05-01,0,26,100,0,3,0,0,0
2018-05-01,0,27,45,0,10,0,10,0
2018-05-01,0,28,135,0,29,29,0,2
2018-05-01,0,29,55,0,6,1,0,0
2018-05-01,0,31,50,0,8,0,0,0
2018-05-01,0,32,270,0,6,0,0,0
2018-05-01,1,0,302,0,108,69,2,1
2018-05-01,1,1,182,182,126,63,2,0
2018-05-01,1,2,20,0,11,0,5,0
2018-05-01,1,3,9,0,9,9,0,0
2018-05-01,1,4,183,53,129,83,48,48
2018-05-01,1,5,53,53,53,52,6,6
2018-05-01,1,6,150,0,14,14,7,7
2018-05-01,1,7,130,20,4,2,0,1
2018-05-01,1,8,58,20,7,2,0,0
2018-05-01,1,9,75,0,64,54,3,5
2018-05-01,1,10,22,0,10,10,0,0
2018-05-01,1,11,180,0,79,67,2,0
2018-06-01,1,0,300,0,107,68,12,2
2018-06-01,1,1,188,188,124,63,7,0
2018-06-01,1,2,18,0,10,0,16,0
2018-06-01,1,3,9,0,9,9,0,0
2018-06-01,1,4,184,59,143,83,48,48
2018-06-01,1,5,59,59,59,58,0,0
2018-06-01,1,6,150,0,21,21,0,0
2018-06-01,1,7,127,20,3,2,0,0
2018-06-01,1,8,58,20,7,2,0,0
2018-06-01,1,9,80,0,69,59,0,0
2018-06-01,1,10,1,0,1,1,0,0
2018-06-01,1,11,190,0,79,67,0,0
2018-06-01,0,12,220,0,104,0,0,0
2018-06-01,0,13,70,0,29,0,40,0
2018-06-01,0,14,220,0,18,0,10,0
2018-06-01,0,15,150,0,8,0,3,0
2018-06-01,0,16,100,0,7,0,3,0
2018-06-01,0,17,25,0,7,0,0,0
2018-06-01,0,20,50,0,22,1,8,0
2018-06-01,0,21,50,0,10,0,2,0
2018-06-01,0,23,170,0,8,0,15,0
2018-06-01,0,33,20,0,1,0,20,0
2018-06-01,0,26,100,0,3,0,0,0
2018-06-01,0,27,45,0,8,0,10,0
2018-06-01,0,28,130,0,30,30,2,2
2018-06-01,0,29,40,0,4,1,2,0
2018-06-01,0,31,45,0,7,0,0,0
2018-06-01,0,32,265,0,6,0,0,0
2018-06-01,0,34,80,0,11,1,2,0
2018-07-01,1,0,342,0,116,66,2,5
2018-07-01,1,1,188,188,125,63,19,10
2018-07-01,1,2,18,0,10,0,15,0
2018-07-01,1,3,9,0,9,9,3,0
2018-07-01,1,4,184,59,143,83,93,93
2018-07-01,1,5,59,59,59,58,0,0
2018-07-01,1,6,150,0,21,21,0,0
2018-07-01,1,7,124,20,3,2,0,0
2018-07-01,1,8,56,20,7,2,0,0
2018-07-01,1,9,80,0,65,58,0,0
2018-07-01,1,10,3,0,1,1,0,0
2018-07-01,1,11,190,0,79,67,8,0
2018-07-01,0,12,210,40,97,0,10,0
2018-07-01,0,13,70,0,28,0,20,0
2018-07-01,0,14,220,0,19,0,5,0
2018-07-01,0,15,150,0,7,0,20,0
2018-07-01,0,16,100,0,5,0,3,0
2018-07-01,0,17,25,0,7,0,0,0
2018-07-01,0,20,50,0,22,1,8,0
2018-07-01,0,21,50,0,10,0,17,0
2018-07-01,0,23,175,0,8,0,15,0
2018-07-01,0,33,20,0,3,0,20,0
2018-07-01,0,26,100,0,3,0,1,0
2018-07-01,0,27,48,0,9,0,10,0
2018-07-01,0,28,130,0,32,32,0,0
2018-07-01,0,29,30,0,3,1,0,0
2018-07-01,0,31,40,0,6,0,0,0
2018-07-01,0,32,250,0,5,0,0,0
2018-07-01,0,34,80,0,11,1,10,0
2018-08-01,1,0,365,0,112,66,5,5
2018-08-01,1,1,189,189,126,63,8,8
2018-08-01,1,2,19,0,11,0,5,0
2018-08-01,1,3,9,0,9,9,3,0
2018-08-01,1,4,184,59,143,83,93,93
2018-08-01,1,5,58,58,58,57,15,15
